index,uuid,title,description,snippet,url,source,language,published_at,categories,E_codings,S_codings,Z_codings
1,e919651d-b28b-4e12-8fe1-3a120fdc0ed1,Biden confirms plans to talk to China’s Xi Jinping soon,"In addition, the US President stated his intent to visit Northern Ireland","WASHINGTON, March 14. /TASS/. US President Joe Biden would like to have a new phone or video call with Chinese Leader Xi Jinping shortly, Biden confirmed Monday...",https://tass.com/world/1588085,tass.com,en,2023-03-14T03:54:19.000000Z,general,"Diplomatic relations,Positive",,"Diplomatic relations,Positive"
2,014d6ea3-df29-4b9f-8863-4cd74168e81c,Xi Jinping invites Trump to visit China,"According to the media report, the US president expressed sincere gratitude","BEIJING, June 5. /TASS/. Chinese President Xi Jinping has invited US leader Donald Trump to visit China, China Central Television reports.

According to the bro...",https://tass.com/world/1969341,tass.com,en,2025-06-05T15:13:17.000000Z,general,"Diplomatic relations,Positive",,"Diplomatic relations,Positive"
3,7464a488-c5cf-4bf1-9ce1-4f1f794cb0f8,Moments of Xi Jinping and non-CPC members,,"Lin Shangyuan, a member of the Revolutionary Committee of the Chinese Kuomintang and veteran who participated in the War of Resistance Against Japanese Aggressi...",http://www.ecns.cn/video/2022-09-18/detail-ihceauqk3926428.shtml,ecns.cn,en,2022-09-18T10:16:02.000000Z,general,"Domestic social policy,Positive",,"Domestic social policy,Positive"
4,c78e4374-74ce-4acb-a8ff-6cfd14597275,"Vladimir Putin, Xi Jinping meet in Beijing",Russian President Vladimir Putin and Chinese President Xi Jinping met in Beijing on Tuesday ahead of a large military parade commemorating 80 years since the en...,"Vladimir Putin, Xi Jinping meet in Beijing Russian President Vladimir Putin and Chinese President Xi Jinping met in Beijing on Tuesday ahead of a large military...",https://www.cbsnews.com/video/vladimir-putin-xi-jinping-meet-in-beijing/,cbsnews.com,en,2025-09-02T12:54:00.000000Z,"general,politics","Diplomatic relations,Neutral",,"Diplomatic relations,Positive"
5,26c34176-1a42-46e5-81cf-2608d61bc44d,Chinese President Xi Jinping secures historic third term as China's leader,"Xi Jinping secured a historic third term as China's leader on Sunday, cementing his position as the nation's most powerful leader since Mao Zedong.","Chinese President Xi Jinping secures historic third term as China's leader

Chinese President Xi Jinping secures historic third term as China's leader Xi Jinpin...",https://timesofindia.indiatimes.com/world/chinese-president-xi-jinping-secures-historic-third-term-as-chinas-leader/photostory/95044915.cms,timesofindia.indiatimes.com,en,2022-10-23T07:19:35.000000Z,general,"Domestic social policy,Neutral",,"Domestic social policy,Negative"
6,f8ca8c89-968e-42c5-a712-d27643850ce9,Tough Road Ahead For Xi Jinping,"China's deteriorating economy is a serious concern.
Xi Jinping and China's new premier will have a difficult task ahead of them after the 20th party congress, n...","China's deteriorating economy is a serious concern.

Xi Jinping and China's new Premier will have a difficult task ahead after the 20th party congress, notes Ja...",https://www.rediff.com/news/column/jayadeva-ranade-tough-road-ahead-for-xi-jinping/20220826.htm,rediff.com,en,2022-08-26T03:30:33.000000Z,general,"Domestic economic policy,Negative",,"Domestic economic policy,Negative"
7,48ea09c5-a7d2-42a6-a9a6-a48db75caf57,"Putin, Xi Jinping to facilitate BRICS’ strengthening — Russian presidential aide","As Yury Ushakov noted, both leaders stated that the two countries’ positions on most foreign policy issues are identical","MOSCOW, January 21. /TASS/. Russian President Vladimir Putin and his Chinese counterpart Xi Jinping reached an agreement during Tuesday’s talks to continue st...",https://tass.com/politics/1902359,tass.com,en,2025-01-21T14:24:31.000000Z,general,"Diplomatic relations,Positive",,"Diplomatic relations,Positive"
8,cd5ce3b3-a41b-41dd-a691-f4cc3267c415,Pakistan congratulates “True Friend” Xi Jinping on securing third term in historic election,"Islamabad [Pakistan], October 23 (ANI): Pakistan Prime Minister Shehbaz Sharif on Sunday extended his wishes to Xi Jinping after he clinched the third term in a...","Islamabad [Pakistan], October 23 (ANI): Pakistan Prime Minister Shehbaz Sharif on Sunday extended his wishes to Xi Jinping after he clinched the third term in a...",https://theprint.in/world/pakistan-congratulates-true-friend-xi-jinping-on-securing-third-term-in-historic-election/1180191/,theprint.in,en,2022-10-23T14:43:23.000000Z,general,"Diplomatic relations,Positive",,"Diplomatic relations,Positive"
9,8d5d1888-8eba-4c31-bd1e-dc356032982f,Humanity’s future depends on China-US relations — Xi Jinping,The Chinese leader emphasized that,"BEIJING, March 27. /TASS/. The nature of the relationship between China and the United States not only affects the well-being of the people of both countries bu...",https://tass.com/world/1766679,tass.com,en,2024-03-27T13:00:16.000000Z,general,"Diplomatic relations,Neutral",,"Foreign social policy,Positive"
10,20b7d8dc-e773-4902-bfe8-a7ab89d4d28d,Xi Jinping-Zelensky conversation is vital for resolving Ukrainian conflict — Chinese MFA,Chinese Foreign Minister Qin Gang noted that the conversation between the two leaders,"BEIJING, April 27. /TASS/. The conversation between Chinese President Xi Jinping and his Ukrainian counterpart Vladimir Zelensky is a significant step toward th...",https://tass.com/world/1610401,tass.com,en,2023-04-27T09:02:28.000000Z,general,"Diplomatic relations,Positive",,"Diplomatic relations,Positive"
11,78dd3d8e-edd9-4c4c-96d7-93a38e48fa92,Biden calls China’s Xi Jinping a ‘dictator’,"US President Joe Biden on Tuesday called Xi Jinping a dictator, a day after top US diplomat Antony Blinken visited Beijing to stabilize bilateral relations...","Biden calls China’s Xi Jinping a ‘dictator’ US President Joe Biden on Tuesday called Xi Jinping a dictator, a day after top US diplomat Antony Blinken vis...",https://defence.pk/pdf/threads/biden-calls-chinas-xi-jinping-a-dictator.770153/,defence.pk,en,2023-06-21T07:54:42.000000Z,general,"Diplomatic relations,Negative",,"Domestic social policy,Negative"
