index,uuid,title,description,snippet,url,source,language,published_at,categories,E_codings,S_codings,Z_codings
251,56528c79-bb09-4133-b046-7ab942eaca2d,Biden to meet with China's Xi in person at G-20 summit,"President Joe Biden will meet with Chinese President Xi Jinping on the sidelines of next week’s Group of 20 Summit in Bali, Indonesia, the White House","WASHINGTON — President Joe Biden will meet with Chinese President Xi Jinping on the sidelines of next week’s Group of 20 Summit in Bali, Indonesia, the Whit...",https://www.nbcnews.com/politics/joe-biden/biden-meet-chinas-xi-person-g-20-summit-rcna56580,nbcnews.com,en,2022-11-10T16:00:26.000000Z,"general,politics",,,
252,439e6ad5-605b-4fc6-bb4d-59d167241e5c,China’s Xi reappears on state TV amid rumors over absence,BEIJING (AP) — Chinese President Xi Jinping reappeared on state television Tuesday after a several-day absence from public view that sparked rumors ab...,BEIJING (AP) — Chinese President Xi Jinping reappeared on state television Tuesday after a several-day absence from public view that sparked rumors about the ...,https://www.thestar.com/news/world/asia/2022/09/27/chinas-xi-reappears-on-state-tv-amid-rumors-over-absence.html,thestar.com,en,2022-09-27T15:45:50.000000Z,general,,,
253,c1305a69-8c0e-492c-8b89-c0cd22247f21,"Trump setting up meeting with Putin, in communication with Xi","President-elect Donald Trump said he is working on setting up a meeting with Russian President Vladimir Putin for after his Jan. 20 inauguration and is in ""comm...",President-elect Donald Trump said Thursday that his team is in the works of setting up meetings with Russian President Vladimir Putin and Chinese President Xi J...,https://www.foxnews.com/world/trump-setting-up-meeting-putin-communication-xi,foxnews.com,en,2025-01-10T16:04:47.000000Z,"general,politics",,,
254,a8ca2421-35c7-4266-8527-a68dc0638da3,Xi says improper handling of Taiwan issues will hit China-U.S. ties,BEIJING — Chinese President Xi Jinping told his U.S. counterpart Joe Biden on Friday that the Taiwan issue needs to be handled properly to avoid a negative…,"Washington, which is seeking Beijing’s help in restoring peace in Ukraine after Russia’s Feb. 24 invasion, has no formal diplomatic ties with Taipei, but is...",https://nationalpost.com/pmn/news-pmn/xi-says-improper-handling-of-taiwan-issues-will-hit-china-u-s-ties-2,nationalpost.com,en,2022-03-18T19:24:53.000000Z,general,,,
255,47a90a3d-6dd5-447e-9530-12f810ccddf6,"Xi Urges Biden, NATO To Speak To Putin, Tells US To Back Off On Taiwan Issue",Xi Jinping urged Joe Biden to ensure his administration and ally NATO sit down for direct talks with Russia to deescalate the crisis in Ukraine. During his vide...,Xi Jinping urged Joe Biden to ensure his administration and ally NATO sit down for direct talks with Russia to deescalate the crisis in Ukraine. During his vide...,https://www.news18.com/news/world/xi-urges-biden-nato-to-speak-to-putin-tells-us-to-back-off-on-taiwan-issue-4888526.html,news.google.com,en,2022-03-19T06:53:42.000000Z,general,,,
256,0a007f0e-fdf0-4dc1-9b11-14e81b584b51,Chinese President Xi tells Russian President Putin all sides should work to resolve Ukraine crisis,"Beijing has refused to condemn the invasion of Ukraine, claiming neutrality, but Chinese diplomats and state media frequently boost Russian propaganda and disin...","Chinese President Xi Jinping, right, and Russian President Vladimir Putin meet in Beijing, on Feb. 4.Alexei Druzhinin/The Associated Press

Chinese President Xi...",https://www.theglobeandmail.com/world/article-russia-ukraine-war-putin-china-xi-jinping-call/,news.google.com,en,2022-06-15T12:03:11.000000Z,general,,,
257,7a982147-fa97-452c-8dfd-d2b90190c931,Xi and Putin to speak via video as grinding Ukraine war tests China-Russia partnership,"Xi Jinping and Vladimir Putin are scheduled to speak Friday via video conference, the Kremlin said, with analysts watching for any sign of a softening in the Ch...","Hong Kong CNN —

Xi Jinping and Vladimir Putin are scheduled to speak Friday via video conference, the Kremlin said, with analysts watching for any sign of a ...",https://www.cnn.com/2022/12/30/asia/china-xi-russia-putin-video-meeting-intl-hnk/index.html,cnn.com,en,2022-12-30T05:42:08.000000Z,general,,,
258,54acf56e-229d-49db-8385-07eff18ab674,"Biden, China's Xi hold phone call on Taiwan, AI, trade","President Biden and Chinese President Xi Jinping held a phone call to discuss Taiwan, artificial intelligence and other issues, the White House says.","President Biden held a phone call with Chinese President Xi Jinping for the first time since July 2022 on Tuesday, the White House announced.

The White House h...",https://www.foxnews.com/politics/biden-chinas-xi-hold-phone-call-taiwan-ai-trade,foxnews.com,en,2024-04-02T15:47:58.000000Z,"general,politics",,,
259,9bd9c922-3ed1-4969-84da-295506eb3270,'Omicron' Covid variant: Did WHO skip two letters of Greek alphabet to avoid 'Xi'?,"When news of the new SARS-CoV-2 variant B.1.1529 first began to emerge, many expected that it would be named the 'Nu' variant, as 'Nu' was the next available le...","When news of the new SARS-CoV-2 variant B.1.1529 first began to emerge, many expected that if it was flagged by the World Health Organisation, it would - quite ...",https://www.indiatoday.in/world/story/omicron-covid-variant-who-skip-letters-greek-alphabet-avoid-xi-1881452-2021-11-27,news.google.com,en,2021-11-27T05:46:12.000000Z,general,,,
260,8f971302-eaee-43cb-a772-a7ac352bd5f0,China's Xi to meet Putin in Russia next week,"Chinese leader Xi Jinping will visit Russia next week at the invitation of President Vladimir Putin, the Chinese Foreign Ministry announced Friday.","CNN —

Chinese leader Xi Jinping will visit Russia next week at the invitation of President Vladimir Putin, the Chinese Foreign Ministry announced Friday.

It...",https://www.cnn.com/2023/03/17/china/china-xi-jinping-visits-russia-intl-hnk/index.html,cnn.com,en,2023-03-17T08:07:10.000000Z,general,,,
